text;Number of Tokens;Number of Mistakes;Number of Hallucinations;Number of OCR errors
inventarislijst;1;0;;
"gelegenheid gesteld hierover een zienswijze
";5;0;;
informatie;1;0;;
levering verwijs;2;1;1;
"t.a.v. een ieder.
Allereerst wil ik u wijzen";8;0;;
artikel 3, vijfde;3;0;;
informatie ingevuld;2;1;1;
artikelen;1;0;;
uiteindelijk het publieke;3;1;1;
"democratische bestuursvoering. Het komt
iedere burger in gelijke";5;2;;2
aanzien;1;0;;
onderscheid;1;0;;
verrichten;1;0;;
informatie;1;0;;
welgelegenheidsgronden;1;1;1;
specefieke;1;1;;1
uitsluitend;1;0;;
mogelijk is. Indien;3;0;;
Indien zij;2;0;;
"licht vindt de onderstaande
belangenafweging/vinden de onderstaande
belangenafwegingen";9;0;;
artikel;1;0;;
"waarbij In de Inventarislijst staat
aangegeven dat artikel";8;0;;
gedrang.;1;1;1;
vergoedingssystematiek;1;0;;
onderhandelingspositie van de overheid;4;0;;
informatie;1;0;;
informatie;1;0;;
