text;Number of Tokens;Number of Mistakes;Number of Hallucinations;Number of OCR errors
"Onderwijs, Cultuur en 
Wetenschap ";4;0;;
vooral;1;0;;
asielstatushouders;1;0;;
ook;1;0;;
"
Omdat mensen";2;0;;
cursus;1;0;;
maximale leenbedrag voor asielmigranten altijd;5;0;;
analfabeten;1;0;;
niet-analfabeten.;1;0;;
onderscheid kan niet vastgesteld;4;0;;
mogelijk;1;0;;
verlenging van de Inburgeringstermijn wegens het volgen van alfabetiseringslesssen;9;0;;
de leerbaarheidstoets. De leerbaarheidstoets wordt;4;0;;
Daarnaast vraagt u in uw verzoek om;7;0;;
voor de ;2;0;;
cohorten van inburgeraars;3;0;;
"waarin de inburgeraar geïnformeerd werd over de inburgeringsplicht.
In mijn e-mail van 12 juni";16;0;;
om akkoord;2;0;;
handelwijzen;1;1;1;
"voorgestelde aanpassingen,
";2;0;;
"I, Wettelijk kader
Uw verzoek valt onder de reikwijdte van";10;0;;
Wob-;1;0;;
bijlage 1,;2;0;;
Inventarisatie documenten;4;0;;
Bestuur ;2;1;1;
Ik heb besloten;2;0;;
document 'Cijfers inburgering',;3;0;;
