text;Number of Tokens;Number of Mistakes;Number of Hallucinations;Number of OCR errors
"Onderwijs, Cultuur en 
Wetenschap ";4;0;;
"vooral
";1;0;;
"aslelstatushouders
";1;1;;1
"ook
";1;0;;
"Omdat mensen
";2;0;;
"cursus
";1;0;;
maximale leenbedrag voor asielmigranten altijd;5;0;;
"analfabeten
";1;0;;
"niet-analfabeten. 
";1;0;;
"onderscheld kan niet vastgesteld
";4;1;;1
"mogelijk
";1;0;;
"verlenging van de Inburgeringstermijn wegens het volgen van alfabetiseringslessen
";9;0;;
"leerbaarheidstosts. De leerbaarheidstoets wordt
";4;1;;1
Daarneast vraagt u in uw verzoek om;7;1;;1
voor de;2;0;;
"cohorten van Inburgeraars
";3;0;;
"waarin de inburgeraar geinformeerd werd over de 
inburgeringsplicht. 
In mijn e-mail ven 12 juni";16;0;;
om akkoord;2;0;;
"hanteerwijzen
";1;0;;
"voorgestelde aanpassingen, 
I, Wettelijk kader 
";2;0;;
"Uw verzoek valt onder de reikwijdte van
";10;0;;
Wob-;1;0;;
bijlage 1;2;0;;
"
Inventarisatie documenten";4;0;;
document aangetroffen. ;2;0;;
"Bestuit 
Tk heb besloten
";2;2;;2
"document 'Ciffers inburgering’
";3;1;;1
